1.1 Edad:,1.2 Género:,3. Evaluación de Habilidades Blandas,"A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Gestión: Gestionar actividades complejas, como proyectos de ingeniería, en el campo de estudio.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Comunicación efectiva: Presentar y defender proyectos técnicos en español e inglés en entornos profesionales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Liderazgo: Dirigir equipos, organizando tareas y tomando decisiones clave.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Trabajo en equipo: Participar activamente en equipos para resolver problemas de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Ética profesional: Actuar con responsabilidad ética en la toma de decisiones técnicas, respetando normas y compromisos legales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Responsabilidad social: Considerar aspectos jurídicos, culturales y de sostenibilidad al desarrollar soluciones de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Aprendizaje autónomo: Buscar activamente aprendizaje continuo y desarrollar habilidades profesionales de manera autónoma.]",4. Inserción Laboral,4.1 ¿Actualmente estás trabajando?,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,4.1.5 ¿Cuánto tiempo lleva trabajando en su empleo actual?,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Gestión],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Comunicación efectiva],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Liderazgo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Trabajo en equipo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Ética profesional],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Responsabilidad social],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Aprendizaje autónomo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,"Si respondió ""Sí"", por favor especifique:",4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,"6.1 ¿Qué asignaturas te resultaron más relevantes durante la carrera? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Estática, Mecánica de materiales, Dinámica","6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion
23,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,4.0,Si,Si,No,Sí,Sí,Sí,No,No,Sí,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Hidráulica,TICS,Ser más estrictos,La  expresión en público,Ninguna,(RRA20) INGENIERÍA CIVIL,2025
24,Masculino,,3,3,3,3,3,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Control industrial, PLCs, instalaciones eléctricas y potencia.","Liderazgos, emorendimiento, formación empresarial.",Mas practica.,Formación de liderazgo y ventas.,Liderazgo: poder comunicar y guiar a la gente del trabajo.,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
24,Femenino,,3,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Especializarme en un lenguaje de programación,"a) Sí, la he utilizado para postularme a vacantes","Programación, aplicaciones móviles, estructura de datos y algoritmos, desarrollo web",Ciberseguridad,Tener más formación práctica que teórica,Comunicación efectiva,"Adaptabilidad, porque las tecnologías cambian muy rápido y se debe adaptar lo más pronto",(RRA20) SOFTWARE,2025
27,Masculino,,3,4,3,4,5 (Totalmente desarrollado),3,4,,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,Sí,Los profesores solo se enfocan en enseñar los temas y cumplir su sílabo más no se interesan en enseñar algo en la industria o de generar proyectos útiles para los estudiantes solo ejercicios y temas sin razón solo por tener notas,"d) No, pero me gustaría conocer más sobre cómo acceder",Robótica y todo lo relacionado a PLCs,Importancia en el acercamiento de estudiantes a empresas más no únicamente a los laboratorios de la facu,Realizar un sílabo enfocado al estudiante no solo a que se cumpla con una extensa variedad de temas,Comunicación efectiva y liderazgo,"Liderazgo, muchas veces solo hacen incomodar o en ocasiones denigrar al estudiante, volviéndolo inseguro de compartir ideas, por lo q el liderazgo podría ser una alternativa muy buena que desarrollaría más habilidades relacionadas",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
22,Masculino,,4,3,3,4,5 (Totalmente desarrollado),4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,c) No la conozco,"Bases de datos, Desarrollo de aplicaciones web, Tecnologias de seguriodad, Desarrollo de IoT",Sistemas IoT,Un poco mas de intervención en ciertas materias para que el estudiante no se quede estancado,Manejo de conflictos,"Iniciativa, para poder intervenir en muchos de los escenarios que puede haber en el mundo laboral",(RRA20) DESARROLLO DE SOFTWARE,2025
25,Masculino,,2,3,2,2,2,2,4,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,1.0,Si,Parcialmente,Sí,No,No,No,No,Sí,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,Electrónica,Robótica,Más práctico,Todo,Ninguna,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
25,Masculino,,4,4,4,4,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,4.0,No,Parcialmente,No,No,No,No,No,No,No,Sí,,Si,De $461 a $1000,,,,,c) No la conozco,"programación,bases de datos, gestión de proyectos",tics,programa de con empresas teológicas  para pasantías,liderar,,(RRA20) DESARROLLO DE SOFTWARE,2025
24,Masculino,,4,3,3,3,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Diseño de Proyectos Estructurales,TICs,Vincular más a los estudiantes con el campo laboral,Presentación y dirección,Oratoria,(RRA20) INGENIERÍA CIVIL,2025
23,Femenino,,3,3,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,Parcialmente,No,No,Sí,Sí,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Optimización de procesos,"TICs, manejo de Sap",Ser más prácticos que técnicos,Comunicación afectiva,Una mejor comunicación y liderazgo,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025
23,Femenino,,3,3,3,4,3,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,No,No,No,No,No,No,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Gestión de procesos, calidad, logística y distribución, programación, proyectos, cadena de suministro",Más a profundidad el tema de proyectos,Que se fomente más las habilidades blandas,"Inteligencia emocional, liderazgo","Inteligencia emocional, charlas y conscientizacion",(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025
